;KONE»N… POÿADÕ SPAC 2008;;;;;;;;;;;;;;;;;;;;;;
;11. roËnÌk;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
po¯adÌ;p¯ÌjmenÌ;jmÈno;klub;11 nej;Krnov;2boj;TdJ;Goof·k;M.A.D.;St.Ves;éD;Klim;Bohum;Polom;Stonava;VC L;Paskov;M 60;Petrovice;Td»;celkem;;
35.;KUBÕ»EK;Bo¯ivoj;APVS V¡PEN¡;55;31;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;55;95;0
36.;MASAÿÕK;ZdenÏk;SIGMA HRANICE;54;25;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;54;95;0
37.;JABLONSKI;Janusz;GMG GLIWICE;47;1;18;0;0;0;0;0;0;0;0;0;18;0;10;0;0;47;95;0
38.;RYLICH;V·clav;CK ORLÕK ORLOV¡;45;20;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;45;95;0
39.;LECHOSZEST;Czeslaw;NOWA CEREKWIA;44;0;0;0;0;0;0;0;0;22;0;0;0;0;0;22;0;44;95;0
40.;JAHN;LudÏk;MARK BÕLOVEC;42;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;19;42;95;0
41.;PASTUäEK;VlastimÌr;CK HOBBY BOHUMÕN;39;0;19;20;0;0;0;0;0;0;0;0;0;0;0;0;0;39;95;0
42.;BARTFAY;Pavel;BULDOCI RAPOTÕN;34;3;0;0;13;0;0;18;0;0;0;0;0;0;0;0;0;34;95;0
43.;HRACHOVINA;Rostislav;YOGI RACING TEAM OSTRAVA;34;8;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;34;95;0
44.;OPÃLA;ZdenÏk;TJ Té TÿINEC;33;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;33;95;0
45.;MI»KO;Jan;DOLNÕ LUTYNÃ;33;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;33;95;0
46.;HAM¡»EK;Jaroslav;BULDOCI RAPOTÕN;30;2;0;0;14;0;0;14;0;0;0;0;0;0;0;0;0;30;95;0
47.;KLIMEä;Pavel;SC R¡JE»KO;30;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;30;95;0
48.;JUÿÕK;Kamil;ASPV V¡PENN¡;30;11;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;30;95;0
49.;DUCHA“;Stanislav;SILN› TEAM UNI»OV;30;0;0;0;15;0;0;0;15;0;0;0;0;0;0;0;0;30;95;0
50.;KASZUBA;Miroslav;TJ KOLÕK BOHUMÕN;29;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;95;0
51.;WAWRZYNKIEWICZ;Edward;GLIWICE;29;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;95;0
52.;STEJSKAL;Duöan;IVT N¡CHOD;28;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;95;0
53.;PIJANOWSKI;Leöek;KATOWICE;28;6;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;28;95;0
54.;KRATOCHVÕL;Frantiöek;SOK R›MAÿOV;28;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;28;95;0
55.;KLAPKA;VlastÌk;MADT SPORT KLAPKA;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;28;95;0
56.;ZMUDA;Jan;KRNOV;27;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;95;0
57.;MARä¡LEK;Tom·ö;RACING OLEäN¡ F-M;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;27;95;0
58.;RADZKY;Tom·sz;GLIWICE;26;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;95;0
59.;NAKL¡DAL;»estmÌr;ACS DRAK VRBNO p. PRADÃDEM;25;7;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;25;95;0
60.;URBAäEK;Ji¯Ì;GOOFY OCIZ TEAM KRNOV;25;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;25;95;0
61.;WIDENKA;Aleö;;25;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;25;95;0
62.;KLUCH;Radek;CYKLO HRABOVSK›;25;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;25;95;0
63.;LUKEä;Stanislav;AVPS V¡PEN¡;24;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;95;0
64.;SCHINDLER;ZbynÏk;ZAMO;24;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;24;95;0
65.;äIRŸ»KA;Pavel;SK äAFRATA BOHUMÕN;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;23;95;0
66.;PAVLOVSK›;Tom·ö;RACING OLEäN¡ F-M;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;23;95;0
67.;äçASTN›;V·clav;SILN› TEAM UNI»OV;22;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;22;95;0
68.;RŸéI»KA;Ivan;;22;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;22;95;0
69.;STRNADEL;LudÏk;»ELADN¡;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22;95;0
70.;FAJKUS;Milan;RACING OLEäN¡ F-M;21;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;21;95;0
71.;äIDÕK;Miroslav;;21;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;21;95;0
72.;KONT⁄R;Milan;SK VALAäSK…HO KR¡LOVSTVÕ;21;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;21;95;0
73.;KOä¡K;Michal;RACING OLEäN¡ F-M;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;21;95;0
74.;V›BOCH;Ivo;GOOFY OCIZ TEAM KRNOV;20;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;20;95;0
75.;NEVOLE;Jan;HMYZ¡CI »ESK¡ LÕPA;20;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;20;95;0
