;KONEÈNÉ POØADÍ SPAC 2004;;;;;;;;;;;;;;;;;
;7. roèník;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;9 nej.;Bolat.;Kružb.;Bohum.;V.Pol.;TdJ;Kri;Èas.j.;Liptáò;Èas.dv.;VC VK;M 60;Bolat.;celkem;
11.;STANKE;Ladislav;TJ BANÍK HAVÍØOV;37;8;0;4;0;1;0;10;0;0;0;6;8;37;19
12.;JAKL;Jiøí;ORLI OSTRAVA;34;0;0;2;5;0;0;12;0;0;5;0;10;34;19
13.;KOVÁÈ;Štefan;SK ŠAFRATA BOHUMÍN;31;7;0;2;0;1;8;0;0;0;0;7;6;31;19
14.;KNYTL;Vojtìch;CYKLOSERVIS SUCHDOL n. ODROU;13;0;0;0;0;3;0;0;10;0;0;0;0;13;19
15.;SIKORA;Petr;SK ŠAFRATA BOHUMÍN;12;0;0;0;0;0;0;0;0;12;0;0;0;12;19
16.;ŠIRùÈKA;Pavel;SK ŠAFRATA BOHUMÍN;12;0;0;12;0;0;0;0;0;0;0;0;0;12;19
17.;KUBÁTKO;Milan;CK ORLÍK ORLOVÁ;10;0;0;10;0;0;0;0;0;0;0;0;0;10;19
18.;MARŠÁLEK;Tomáš;RACING OLEŠNÁ,  F-M;7;0;0;0;0;7;0;0;0;0;0;0;0;7;19
19.;KRCHÒÁK;Pavel;ŽABEÒ   ;2;0;0;0;0;2;0;0;0;0;0;0;0;2;19
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Kategorie D;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;9 nej.;Bolat.;Kružb.;Bohum.;V.Pol.;TdJ;Kri;Èas.j.;Liptáò;Èas.dv.;VC VK;M 60;Bolat.;celkem;
1.;DANÌÈEK;Pavel;ŠNEK TEAM KRNOV;149;10;15;24;15;0;15;0;24;0;15;15;16;149;11
2.;MECNER;Bohumil;CK SPURT FOLVARÈNÝ;117;0;0;16;12;12;8;0;14;12;12;7;24;117;11
3.;VEVERKA;Vratislav;CK FESO PETØVALD;115;0;0;20;0;0;12;15;20;0;6;12;30;115;11
4.;ZAVÍRAL;Bohumil;ŠNEK TEAM KRNOV;111;12;8;30;10;0;10;0;16;0;10;5;10;111;11
5.;MOTTL;Bohumír;SK ŠAFRATA BOHUMÍN;72;8;0;12;0;0;0;0;0;15;7;10;20;72;11
6.;TEŠNAR;Tomáš;YOGI RACING OSTRAVA;72;0;0;10;0;10;0;0;12;12;8;6;14;72;11
7.;RAŠKA;František;CK VALAŠSKÉHO KRÁLOVSTVÍ;67;0;0;8;8;8;7;12;10;0;4;4;6;67;11
8.;OCÁSEK;Zdenìk;BIKE CLUB KRNOV;57;15;12;0;0;0;0;0;30;0;0;0;0;57;11
9.;OTÝPKA;Jan;YOGI RACING OSTRAVA;37;7;10;0;0;0;0;0;0;0;0;8;12;37;11
10.;WALA;Jaroslav;YOGI RACING OSTRAVA;36;6;0;0;0;0;6;0;8;0;5;3;8;36;11
11.;MASNÝ;Milan;RACING OLEŠNÁ,  F-M;29;0;0;14;0;15;0;0;0;0;0;0;0;29;11
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Kategorie E;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;9 nej.;Bolat.;Kružb.;Bohum.;V.Pol.;TdJ;Kri;Èas.j.;Liptáò;Èas.dv.;VC VK;M 60;Bolat.;celkem;
1.;HOMOLA;Petr;SK ŠAFRATA BOHUMÍN;180;15;15;30;15;15;0;0;30;15;15;15;30;195;8
2.;VESELÝ;Petr;TJ TŽ TØINEC;95;0;0;20;12;0;15;12;0;0;12;0;24;95;8
3.;GLOGAR;Jan;YOGI RACING OSTRAVA;93;0;0;24;0;12;0;15;0;0;10;12;20;93;8
4.;GERYCH;Miloslav;SK ŠAFRATA BOHUMÍN;62;0;12;16;10;0;12;0;0;12;0;0;0;62;8
5.;FAJKUS;Zdenìk;RACING OLEŠNÁ,  F-M;39;0;0;0;0;0;0;0;24;15;0;0;0;39;8
6.;MIKOLAJCZYK;Zdenìk;YOGI RACING OSTRAVA;18;0;0;0;0;0;0;10;0;0;8;0;0;18;8
7.;LACEK;Jiøí  ;SUNDANCE OPAVA;14;0;0;14;0;0;0;0;0;0;0;0;0;14;8
8.;KLAPETEK;Sobìslav;SK ŠAFRATA BOHUMÍN;10;0;10;0;0;0;0;0;0;0;0;0;0;10;8
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Kategorie Ž;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;9 nej.;Bolat.;Kružb.;Bohum.;V.Pol.;TdJ;Kri;Èas.j.;Liptáò;Èas.dv.;VC VK;M 60;Bolat.;celkem;
1.;HOSTAŠOVÁ;Marie;TJ TŽ TØINEC;150;0;0;0;0;15;15;15;30;15;15;15;30;150;5
2.;DVOROKOVÁ;Kristýna;CK ORLÍK ORLOVÁ;149;15;15;20;15;12;12;10;24;12;12;12;24;183;5
